id,label
GCF_000192315,Helicobacter pylori 2017
HPYL985080,Helicobacter pylori 2018
HPY,Helicobacter pylori 26695
GCF_000178935-HMP,Helicobacter pylori 35A
HPYL290847,Helicobacter pylori 51
HPYL684950,Helicobacter pylori 52
GCF_000213135-HMP,Helicobacter pylori 83
HPYL869727,Helicobacter pylori 908
GCF_000333835,Helicobacter pylori A45
HPYL1055531,Helicobacter pylori Aklavik117
HPYL1055532,Helicobacter pylori Aklavik86
HPYL592205,Helicobacter pylori B38
GCF_000196755,Helicobacter pylori B8
HPYL1407462,Helicobacter pylori BM012A
HPYL1407463,Helicobacter pylori BM012S
GCF_000258845,Helicobacter pylori CCUG 17874
GCF_000275185,Helicobacter pylori CPY1962
HPYL765964,Helicobacter pylori Cuz20
HPYL1055527,Helicobacter pylori ELS37
HPYL866344,Helicobacter pylori F16
HPYL866345,Helicobacter pylori F30
HPYL102608,Helicobacter pylori F32
HPYL866346,Helicobacter pylori F57
GCF_000281675,Helicobacter pylori FD423
HPYL563041,Helicobacter pylori G27
GCF_000310005-HMP,Helicobacter pylori GAM100Ai
GCF_000344945,Helicobacter pylori GAM101Biv
GCF_000344945-HMP,Helicobacter pylori GAM101Biv
GCF_000344965,Helicobacter pylori GAM103Bi
GCF_000344965-HMP,Helicobacter pylori GAM103Bi
GCF_000344985-HMP,Helicobacter pylori GAM105Ai
GCF_000345005-HMP,Helicobacter pylori GAM112Ai
GCF_000345025-HMP,Helicobacter pylori GAM114Ai
GCF_000345045-HMP,Helicobacter pylori GAM115Ai
GCF_000455765-HMP,Helicobacter pylori GAM117Ai
GCF_000345085-HMP,Helicobacter pylori GAM118Bi
GCF_000345105-HMP,Helicobacter pylori GAM119Bi
GCF_000345125-HMP,Helicobacter pylori GAM120Ai
GCF_000345145-HMP,Helicobacter pylori GAM121Aii
GCF_000345065-HMP,Helicobacter pylori GAM201Ai
GCF_000345165-HMP,Helicobacter pylori GAM210Bi
GCF_000345185-HMP,Helicobacter pylori GAM231Ai
GCF_000345205-HMP,Helicobacter pylori GAM239Bi
GCF_000345225,Helicobacter pylori GAM244Ai
GCF_000345225-HMP,Helicobacter pylori GAM244Ai
GCF_000345245-HMP,Helicobacter pylori GAM245Ai
GCF_000345265,Helicobacter pylori GAM246Ai
GCF_000345265-HMP,Helicobacter pylori GAM246Ai
GCF_000345285,Helicobacter pylori GAM249T
GCF_000345285-HMP,Helicobacter pylori GAM249T
GCF_000345305,Helicobacter pylori GAM250AFi
GCF_000345305-HMP,Helicobacter pylori GAM250AFi
GCF_000345325-HMP,Helicobacter pylori GAM250T
GCF_000345345,Helicobacter pylori GAM252Bi
GCF_000345345-HMP,Helicobacter pylori GAM252Bi
GCF_000345365-HMP,Helicobacter pylori GAM252T
GCF_000345385-HMP,Helicobacter pylori GAM254Ai
GCF_000345405-HMP,Helicobacter pylori GAM260ASi
GCF_000345425-HMP,Helicobacter pylori GAM260Bi
GCF_000345445-HMP,Helicobacter pylori GAM260BSi
GCF_000345465-HMP,Helicobacter pylori GAM263BFi
GCF_000345485-HMP,Helicobacter pylori GAM264Ai
GCF_000345505,Helicobacter pylori GAM265BSii
GCF_000345505-HMP,Helicobacter pylori GAM265BSii
GCF_000345525,Helicobacter pylori GAM268Bii
GCF_000345525-HMP,Helicobacter pylori GAM268Bii
GCF_000345545,Helicobacter pylori GAM270ASi
GCF_000345545-HMP,Helicobacter pylori GAM270ASi
GCF_000345565,Helicobacter pylori GAM42Ai
GCF_000345565-HMP,Helicobacter pylori GAM42Ai
GCF_000345585,Helicobacter pylori GAM71Ai
GCF_000345585-HMP,Helicobacter pylori GAM71Ai
GCF_000345605,Helicobacter pylori GAM80Ai
GCF_000345605-HMP,Helicobacter pylori GAM80Ai
GCF_000345625,Helicobacter pylori GAM83Bi
GCF_000345625-HMP,Helicobacter pylori GAM83Bi
GCF_000345645,Helicobacter pylori GAM83T
GCF_000345645-HMP,Helicobacter pylori GAM83T
GCF_000345665,Helicobacter pylori GAM93Bi
GCF_000345665-HMP,Helicobacter pylori GAM93Bi
GCF_000345685,Helicobacter pylori GAM96Ai
GCF_000345685-HMP,Helicobacter pylori GAM96Ai
GCF_000185205,Helicobacter pylori Gambia94/24
GCF_000345705-HMP,Helicobacter pylori GAMchJs106B
GCF_000346815,Helicobacter pylori GAMchJs114i
GCF_000346815-HMP,Helicobacter pylori GAMchJs114i
GCF_000346835,Helicobacter pylori GAMchJs117Ai
GCF_000346835-HMP,Helicobacter pylori GAMchJs117Ai
GCF_000346855-HMP,Helicobacter pylori GAMchJs124i
GCF_000346875-HMP,Helicobacter pylori GAMchJs136i
GCF_000275165,Helicobacter pylori Hp A-16
GCF_000275265,Helicobacter pylori Hp A-17
GCF_000275285,Helicobacter pylori Hp A-20
GCF_000274025,Helicobacter pylori Hp A-26
GCF_000274045,Helicobacter pylori Hp A-27
GCF_000273825,Helicobacter pylori Hp A-8
GCF_000275245,Helicobacter pylori Hp H-16
GCF_000274505,Helicobacter pylori Hp H-18
GCF_000274145,Helicobacter pylori Hp H-4
GCF_000273805,Helicobacter pylori Hp H-41
GCF_000273925,Helicobacter pylori Hp H-44
GCF_000273945,Helicobacter pylori Hp H-45
GCF_000274365,Helicobacter pylori Hp H-5b
GCF_000274105,Helicobacter pylori Hp H-6
GCF_000274085,Helicobacter pylori Hp H-9
GCF_000274965,Helicobacter pylori Hp M1
GCF_000274985,Helicobacter pylori Hp M2
GCF_000274885,Helicobacter pylori Hp M3
GCF_000275545,Helicobacter pylori Hp M4
GCF_000275025,Helicobacter pylori Hp M5
GCF_000275005,Helicobacter pylori Hp M6
GCF_000275485,Helicobacter pylori Hp M9
GCF_000274785,Helicobacter pylori Hp P-1
GCF_000274205,Helicobacter pylori Hp P-11
GCF_000274385,Helicobacter pylori Hp P-11b
HPYL992079,Helicobacter pylori Hp P-13
GCF_000274405,Helicobacter pylori Hp P-13b
GCF_000274285,Helicobacter pylori Hp P-15
GCF_000274425,Helicobacter pylori Hp P-15b
GCF_000274305,Helicobacter pylori Hp P-16
GCF_000274445,Helicobacter pylori Hp P-1b
GCF_000274325,Helicobacter pylori Hp P-23
HPYL992084,Helicobacter pylori Hp P-25
GCF_000274465,Helicobacter pylori Hp P-25c
GCF_000275145,Helicobacter pylori Hp P-25d
GCF_000275385,Helicobacter pylori Hp P-26
GCF_000275345,Helicobacter pylori Hp P-28b
GCF_000274825,Helicobacter pylori Hp P-3
GCF_000275405,Helicobacter pylori Hp P-30
GCF_000275525,Helicobacter pylori Hp P-3b
