NCBI Genome Assembly ID,Assembly
299772,GCA_000008525.1
383853,GCA_900478295.1
371939,GCA_003050665.1
454106,GCA_004295525.1
650025,GCA_007843915.1
163542,GCA_000185205.1
582925,GCA_006337405.1
582936,GCA_006338415.1
230282,GCA_000982695.1
218283,GCA_000828955.1
210005,GCA_000392515.3
582929,GCA_006337485.1
348362,GCA_900176185.1
582933,GCA_006338045.1
445251,GCA_003636855.2
650022,GCA_007836855.1
163541,GCA_000185185.1
647425,GCA_007794935.1
650028,GCA_007844075.1
364215,GCA_002952375.1
364213,GCA_002952335.1
364214,GCA_002952355.1
364776,GCA_002952635.1
364775,GCA_002952615.1
364220,GCA_002952535.1
364219,GCA_002952515.1
364778,GCA_002952675.1
364216,GCA_002952455.1
364217,GCA_002952475.1
364218,GCA_002952495.1
364777,GCA_002952655.1
364221,GCA_002952555.1
364774,GCA_002952595.1
364212,GCA_002951975.1
163547,GCA_000196755.1
364222,GCA_002952575.1
299777,GCA_000021465.1
361911,GCA_002906495.1
348356,GCA_900120205.1
348360,GCA_900120315.1
364779,GCA_002953555.1
348354,GCA_900120135.1
348357,GCA_900120225.1
348359,GCA_900120275.1
348353,GCA_900120055.1
163563,GCA_000307795.1
163565,GCA_000307835.1
163564,GCA_000307815.1
323757,GCA_900149805.1
348355,GCA_900120185.1
348358,GCA_900120255.1
348352,GCA_900119995.1
348361,GCA_900120335.1
217713,GCA_000826985.1
218284,GCA_000829095.1
348351,GCA_900119955.1
217714,GCA_000827025.1
218286,GCA_000829135.1
218285,GCA_000829115.1
256367,GCA_001433495.1
361912,GCA_002906515.1
361914,GCA_002906555.1
361913,GCA_002906535.1
163559,GCA_000277365.1
163552,GCA_000255955.1
650026,GCA_007844035.1
163561,GCA_000277405.1
163562,GCA_000277425.1
163576,GCA_000498335.1
163575,GCA_000498315.1
276578,GCA_001653415.1
590132,GCA_006337875.1
163588,GCA_000685705.1
163536,GCA_000148855.1
210006,GCA_000392535.3
163544,GCA_000185245.1
299776,GCA_000021165.1
163586,GCA_000685625.1
582919,GCA_006337285.1
650024,GCA_007843715.1
163550,GCA_000224555.1
650027,GCA_007844055.1
430794,GCA_003939085.1
366545,GCA_002983705.1
432186,GCA_900638475.1
650021,GCA_007836735.1
299773,GCA_000008785.1
582931,GCA_006337745.1
582940,GCA_006338945.1
163579,GCA_000600085.1
582938,GCA_006338685.1
431758,GCA_003957395.1
582918,GCA_006337265.1
163538,GCA_000148895.1
163585,GCA_000600225.1
163582,GCA_000600165.1
582926,GCA_006337425.1
163554,GCA_000262655.1
163578,GCA_000600045.1
432187,GCA_900638505.1
650023,GCA_007843535.1
264195,GCA_001549715.1
163537,GCA_000148875.1
264197,GCA_001549875.1
582941,GCA_006339065.1
163549,GCA_000224535.1
163543,GCA_000185225.1
256368,GCA_001433515.1
163577,GCA_000590775.1
582937,GCA_006338545.1
307918,GCA_002005525.1
305990,GCA_001991095.1
276576,GCA_001653375.1
163548,GCA_000213135.1
163560,GCA_000277385.1
163568,GCA_000348865.1
163566,GCA_000315955.1
276577,GCA_001653395.1
582922,GCA_006337345.1
582930,GCA_006337625.1
582928,GCA_006337465.1
163558,GCA_000270065.1
299775,GCA_000020245.1
163551,GCA_000224575.1
676610,GCA_008326525.1
163587,GCA_000685665.1
163589,GCA_000685745.1
454107,GCA_004295545.1
582939,GCA_006338815.1
163584,GCA_000600205.1
163581,GCA_000600145.1
582935,GCA_006338285.1
163553,GCA_000259235.1
582943,GCA_006339365.1
299774,GCA_000013245.1
163583,GCA_000600185.1
209380,GCA_000392475.3
209381,GCA_000439295.2
209379,GCA_000392455.3
163569,GCA_000348885.1
163527,GCA_000011725.1
582921,GCA_006337325.1
163534,GCA_000093185.1
216679,GCA_000817025.1
582924,GCA_006337385.1
582934,GCA_006338145.1
410760,GCA_003640585.1
582920,GCA_006337305.1
582927,GCA_006337445.1
163557,GCA_000270045.1
331690,GCA_002356595.1
163533,GCA_000091345.1
324066,GCA_002222575.1
163555,GCA_000270005.1
163556,GCA_000270025.1
276580,GCA_001653455.1
163532,GCA_000023805.1
163540,GCA_000178935.2
656790,GCA_902381665.1
426476,GCA_003855475.1
163546,GCA_000192335.1
264196,GCA_001549855.1
163539,GCA_000148915.1
163580,GCA_000600125.1
163535,GCA_000148665.1
163545,GCA_000192315.1
582942,GCA_006339235.1
582923,GCA_006337365.1
440859,GCA_004088155.1
276581,GCA_001653475.1
440858,GCA_004088075.1
276579,GCA_001653435.1
163567,GCA_000317875.1
660311,GCA_008032995.1
660297,GCA_008026175.1
364225,GCA_002952235.1
364226,GCA_002952255.1
364223,GCA_002952175.1
364227,GCA_002952275.1
364224,GCA_002952195.1
660314,GCA_008033055.1
660300,GCA_008026815.1
660315,GCA_008033075.1
660305,GCA_008032475.1
660306,GCA_008032615.1
675775,GCA_008281125.1
660312,GCA_008033015.1
660302,GCA_008027235.1
660308,GCA_008032935.1
660299,GCA_008026615.1
660303,GCA_008027395.1
660304,GCA_008027775.1
660313,GCA_008033035.1
660309,GCA_008032955.1
660298,GCA_008026375.1
660307,GCA_008032735.1
660310,GCA_008032975.1
605750,GCA_006874685.1
364228,GCA_002952395.1
364230,GCA_002952435.1
364229,GCA_002952415.1
331713,GCA_002357755.1
331705,GCA_002357595.1
331710,GCA_002357695.1
331704,GCA_002357575.1
331717,GCA_002357835.1
331712,GCA_002357735.1
331714,GCA_002357775.1
331709,GCA_002357675.1
331715,GCA_002357795.1
331696,GCA_002357415.1
331718,GCA_002357855.1
331701,GCA_002357515.1
331694,GCA_002357375.1
331706,GCA_002357615.1
331700,GCA_002357495.1
331711,GCA_002357715.1
331691,GCA_002357315.1
331707,GCA_002357635.1
331703,GCA_002357555.1
331695,GCA_002357395.1
331698,GCA_002357455.1
331702,GCA_002357535.1
331692,GCA_002357335.1
331697,GCA_002357435.1
331699,GCA_002357475.1
331708,GCA_002357655.1
331716,GCA_002357815.1
331693,GCA_002357355.1
417749,GCA_003711165.1
249751,GCA_001312765.1
163661,GCA_000258845.1
163788,GCA_000359645.1
391938,GCA_900451295.1
391936,GCA_900450825.1
254359,GCA_000275005.2
254350,GCA_000274545.2
299809,GCA_000448525.1
254373,GCA_000275505.2
163712,GCA_000274805.1
254352,GCA_000274765.2
254355,GCA_000274885.2
254368,GCA_000275365.2
163689,GCA_000274345.1
254365,GCA_000275265.2
254354,GCA_000274845.2
254346,GCA_000274425.2
254341,GCA_000274045.2
163688,GCA_000274325.1
163706,GCA_000274685.1
254375,GCA_000275545.2
254364,GCA_000275245.2
254376,GCA_000275565.2
163673,GCA_000274025.1
163677,GCA_000274105.1
163701,GCA_000274585.1
163781,GCA_000299835.1
163705,GCA_000274665.1
