#Organism/Name,Strain,BioSample,BioProject,Group,SubGroup,Assembly,Size (Mb),GC%,Replicons,WGS,Scaffolds,Genes,Proteins,Release Date,Modify Date,Level,RefSeq FTP,GenBank FTP
"Helicobacter pylori 26695","26695",SAMN02603995,PRJNA233,"Proteobacteria","delta/epsilon subdivisions",GCA_000008525.1,1.66787,38.9,chromosome:NC_000915.1/AE000511.1,-,1,1555,1445,1997/08/06,2016/08/02,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/525/GCF_000008525.1_ASM852v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/525/GCA_000008525.1_ASM852v1
"Helicobacter pylori NCTC 11637 = CCUG 17874 = ATCC 43504","NCTC 11637",SAMEA3178013,PRJEB6403,"Proteobacteria","delta/epsilon subdivisions",GCA_900478295.1,1.68094,38.8,chromosome 1:NZ_LS483488.1/LS483488.1,-,1,1679,1500,2018/06/17,2018/06/25,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/478/295/GCF_900478295.1_35377_D02,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/478/295/GCA_900478295.1_35377_D02
"Helicobacter pylori","FDAARGOS_298",SAMN06173311,PRJNA231221,"Proteobacteria","delta/epsilon subdivisions",GCA_003050665.1,1.6809,38.8,chromosome:NZ_CP028325.1/CP028325.1,-,1,1678,1511,2018/04/13,2019/10/19,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/050/665/GCF_003050665.1_ASM305066v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/050/665/GCA_003050665.1_ASM305066v1
"Helicobacter pylori","ATCC 43504",SAMD00051589,PRJDB4522,"Proteobacteria","delta/epsilon subdivisions",GCA_004295525.1,1.68083,38.8,chromosome:NZ_AP017632.1/AP017632.1,-,1,1677,1489,2019/01/17,2019/08/08,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/295/525/GCF_004295525.1_HPATCC43504_01,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/295/525/GCA_004295525.1_HPATCC43504_01
"Helicobacter pylori","B140",SAMN08055035,PRJNA419269,"Proteobacteria","delta/epsilon subdivisions",GCA_007843915.1,1.72684,38.7,chromosome:NZ_CP024948.1/CP024948.1,-,1,1694,1518,2019/08/05,2019/10/19,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/843/915/GCF_007843915.1_ASM784391v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/843/915/GCA_007843915.1_ASM784391v1
"Helicobacter pylori Gambia94/24","Gambia94/24",SAMN02603024,PRJNA53317,"Proteobacteria","delta/epsilon subdivisions",GCA_000185205.1,1.71247,39.0975,chromosome:NC_017371.1/CP002332.1; plasmid unnamed:NC_017364.1/CP002333.1,-,2,1682,1528,2011/01/06,2017/03/22,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/185/205/GCF_000185205.1_ASM18520v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/185/205/GCA_000185205.1_ASM18520v1
"Helicobacter pylori","19-C-EK1",SAMN10053452,PRJNA490474,"Proteobacteria","delta/epsilon subdivisions",GCA_006337405.1,1.70936,38.7,chromosome:NZ_CP032480.1/CP032480.1,-,1,1667,1523,2019/06/13,2019/10/19,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/337/405/GCF_006337405.1_ASM633740v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/337/405/GCA_006337405.1_ASM633740v1
"Helicobacter pylori","19-A-EK3",SAMN10053444,PRJNA490474,"Proteobacteria","delta/epsilon subdivisions",GCA_006338415.1,1.70638,38.7,chromosome:NZ_CP032911.1/CP032911.1,-,1,1663,1520,2019/06/13,2019/10/19,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/338/415/GCF_006338415.1_ASM633841v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/338/415/GCA_006338415.1_ASM633841v1
"Helicobacter pylori J99","J99",SAMN03487572,PRJNA281410,"Proteobacteria","delta/epsilon subdivisions",GCA_000982695.1,1.69837,39,chromosome:NZ_CP011330.1/CP011330.1,-,1,1639,1481,2015/04/30,2019/08/27,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/982/695/GCF_000982695.1_ASM98269v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/982/695/GCA_000982695.1_ASM98269v1
"Helicobacter pylori NY40","NY40",SAMD00061026,PRJDB1537,"Proteobacteria","delta/epsilon subdivisions",GCA_000828955.1,1.69692,38.8,chromosome:NZ_AP014523.1/AP014523.1,-,1,1693,1479,2014/06/05,2017/03/25,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/828/955/GCF_000828955.1_ASM82895v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/828/955/GCA_000828955.1_ASM82895v1
"Helicobacter pylori UM037","UM037",SAMN02604194,PRJNA196985,"Proteobacteria","delta/epsilon subdivisions",GCA_000392515.3,1.69279,38.9,chromosome:NC_021217.3/CP005492.3,-,1,1675,1507,2013/05/14,2017/03/24,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/392/515/GCF_000392515.3_ASM39251v3,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/392/515/GCA_000392515.3_ASM39251v3
"Helicobacter pylori","173-A-EK1",SAMN10053719,PRJNA490474,"Proteobacteria","delta/epsilon subdivisions",GCA_006337485.1,1.69072,38.8,chromosome:NZ_CP032903.1/CP032903.1,-,1,1652,1490,2019/06/13,2019/10/19,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/337/485/GCF_006337485.1_ASM633748v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/337/485/GCA_006337485.1_ASM633748v1
"Helicobacter pylori","HE93/10_v1",SAMEA103957791,PRJEB17945,"Proteobacteria","delta/epsilon subdivisions",GCA_900176185.1,1.6828,39.1,chromosome I:NZ_LT838273.1/LT838273.1,-,1,1655,1490,2017/07/07,2017/10/28,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/176/185/GCF_900176185.1_HE93_10,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/176/185/GCA_900176185.1_HE93_10
"Helicobacter pylori","23-A-EK1",SAMN10053532,PRJNA490474,"Proteobacteria","delta/epsilon subdivisions",GCA_006338045.1,1.67916,38.8,chromosome:NZ_CP032908.1/CP032908.1,-,1,1644,1505,2019/06/13,2019/10/19,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/338/045/GCF_006338045.1_ASM633804v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/338/045/GCA_006338045.1_ASM633804v1
"Helicobacter pylori","HP14039",SAMN06329538,PRJNA374603,"Proteobacteria","delta/epsilon subdivisions",GCA_003636855.2,1.67826,38.7,chromosome:NZ_CP034147.1/CP034147.1,-,1,1633,1482,2018/11/27,2019/02/07,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/636/855/GCF_003636855.2_ASM363685v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/636/855/GCA_003636855.2_ASM363685v2
"Helicobacter pylori","7.13",SAMN08055030,PRJNA419269,"Proteobacteria","delta/epsilon subdivisions",GCA_007836855.1,1.67674,38.8,chromosome:NZ_CP024953.1/CP024953.1,-,1,1640,1490,2019/08/05,2019/10/19,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/836/855/GCF_007836855.1_ASM783685v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/836/855/GCA_007836855.1_ASM783685v1
"Helicobacter pylori India7","India7",SAMN02603026,PRJNA53321,"Proteobacteria","delta/epsilon subdivisions",GCA_000185185.1,1.67592,38.9,chromosome:NC_017372.1/CP002331.1,-,1,1629,1470,2011/01/06,2017/03/22,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/185/185/GCF_000185185.1_ASM18518v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/185/185/GCA_000185185.1_ASM18518v1
"Helicobacter pylori","B128 7.13",SAMN10083778,PRJNA491697,"Proteobacteria","delta/epsilon subdivisions",GCA_007794935.1,1.68159,38.7901,chromosome:NZ_CP042211.1/CP042211.1; plasmid pB128:NZ_CP042212.1/CP042212.1,-,2,1646,1484,2019/08/01,2019/08/06,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/794/935/GCF_007794935.1_ASM779493v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/794/935/GCA_007794935.1_ASM779493v1
"Helicobacter pylori B128","B128",SAMN08055032,PRJNA419269,"Proteobacteria","delta/epsilon subdivisions",GCA_007844075.1,1.67536,38.8,chromosome:NZ_CP024951.1/CP024951.1,-,1,1642,1489,2019/08/05,2019/10/19,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/844/075/GCF_007844075.1_ASM784407v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/844/075/GCA_007844075.1_ASM784407v1
"Helicobacter pylori","7.13_D1c",SAMN06216081,PRJNA362878,"Proteobacteria","delta/epsilon subdivisions",GCA_002952375.1,1.67416,38.8,chromosome:NZ_CP024017.1/CP024017.1,-,1,1641,1436,2018/02/26,2019/08/29,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/952/375/GCF_002952375.1_ASM295237v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/952/375/GCA_002952375.1_ASM295237v1
"Helicobacter pylori","7.13_D1a",SAMN06216079,PRJNA362878,"Proteobacteria","delta/epsilon subdivisions",GCA_002952335.1,1.67412,38.8,chromosome:NZ_CP024015.1/CP024015.1,-,1,1639,1430,2018/02/26,2019/08/29,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/952/335/GCF_002952335.1_ASM295233v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/952/335/GCA_002952335.1_ASM295233v1
"Helicobacter pylori","7.13_D1b",SAMN06216080,PRJNA362878,"Proteobacteria","delta/epsilon subdivisions",GCA_002952355.1,1.67408,38.8,chromosome:NZ_CP024016.1/CP024016.1,-,1,1636,1451,2018/02/26,2019/10/18,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/952/355/GCF_002952355.1_ASM295235v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/952/355/GCA_002952355.1_ASM295235v1
"Helicobacter pylori","7.13_R2b",SAMN06216074,PRJNA362878,"Proteobacteria","delta/epsilon subdivisions",GCA_002952635.1,1.67403,38.8,chromosome:NZ_CP024075.1/CP024075.1,-,1,1636,1486,2018/02/26,2019/10/19,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/952/635/GCF_002952635.1_ASM295263v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/952/635/GCA_002952635.1_ASM295263v1
"Helicobacter pylori","7.13_R3a",SAMN06216076,PRJNA362878,"Proteobacteria","delta/epsilon subdivisions",GCA_002952615.1,1.67402,38.8,chromosome:NZ_CP024077.1/CP024077.1,-,1,1636,1486,2018/02/26,2019/10/19,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/952/615/GCF_002952615.1_ASM295261v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/952/615/GCA_002952615.1_ASM295261v1
"Helicobacter pylori","7.13_R3b",SAMN06216077,PRJNA362878,"Proteobacteria","delta/epsilon subdivisions",GCA_002952535.1,1.67402,38.8,chromosome:NZ_CP024078.1/CP024078.1,-,1,1637,1486,2018/02/26,2019/10/19,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/952/535/GCF_002952535.1_ASM295253v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/952/535/GCA_002952535.1_ASM295253v1
"Helicobacter pylori","7.13_R3c",SAMN06216078,PRJNA362878,"Proteobacteria","delta/epsilon subdivisions",GCA_002952515.1,1.67402,38.8,chromosome:NZ_CP024079.1/CP024079.1,-,1,1636,1486,2018/02/26,2019/10/19,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/952/515/GCF_002952515.1_ASM295251v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/952/515/GCA_002952515.1_ASM295251v1
"Helicobacter pylori","7.13_R1a",SAMN06216070,PRJNA362878,"Proteobacteria","delta/epsilon subdivisions",GCA_002952675.1,1.67402,38.8,chromosome:NZ_CP024071.1/CP024071.1,-,1,1638,1487,2018/02/26,2019/10/19,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/952/675/GCF_002952675.1_ASM295267v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/952/675/GCA_002952675.1_ASM295267v1
"Helicobacter pylori","7.13_D3a",SAMN06216085,PRJNA362878,"Proteobacteria","delta/epsilon subdivisions",GCA_002952455.1,1.67402,38.8,chromosome:NZ_CP024021.1/CP024021.1,-,1,1635,1485,2018/02/26,2019/10/19,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/952/455/GCF_002952455.1_ASM295245v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/952/455/GCA_002952455.1_ASM295245v1
"Helicobacter pylori","7.13_D3b",SAMN06216086,PRJNA362878,"Proteobacteria","delta/epsilon subdivisions",GCA_002952475.1,1.67401,38.8,chromosome:NZ_CP024022.1/CP024022.1,-,1,1635,1485,2018/02/26,2019/10/19,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/952/475/GCF_002952475.1_ASM295247v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/952/475/GCA_002952475.1_ASM295247v1
"Helicobacter pylori","7.13_D3c",SAMN06216087,PRJNA362878,"Proteobacteria","delta/epsilon subdivisions",GCA_002952495.1,1.67401,38.8,chromosome:NZ_CP024023.1/CP024023.1,-,1,1635,1485,2018/02/26,2019/10/19,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/952/495/GCF_002952495.1_ASM295249v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/952/495/GCA_002952495.1_ASM295249v1
"Helicobacter pylori","7.13_R1b",SAMN06216071,PRJNA362878,"Proteobacteria","delta/epsilon subdivisions",GCA_002952655.1,1.67401,38.8,chromosome:NZ_CP024072.1/CP024072.1,-,1,1636,1485,2018/02/26,2019/10/19,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/952/655/GCF_002952655.1_ASM295265v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/952/655/GCA_002952655.1_ASM295265v1
"Helicobacter pylori","7.13_R2c",SAMN06216075,PRJNA362878,"Proteobacteria","delta/epsilon subdivisions",GCA_002952555.1,1.67401,38.8,chromosome:NZ_CP024076.1/CP024076.1,-,1,1635,1485,2018/02/26,2019/10/19,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/952/555/GCF_002952555.1_ASM295255v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/952/555/GCA_002952555.1_ASM295255v1
"Helicobacter pylori","7.13_R1c",SAMN06216072,PRJNA362878,"Proteobacteria","delta/epsilon subdivisions",GCA_002952595.1,1.67401,38.8,chromosome:NZ_CP024073.1/CP024073.1,-,1,1636,1485,2018/02/26,2019/10/19,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/952/595/GCF_002952595.1_ASM295259v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/952/595/GCA_002952595.1_ASM295259v1
"Helicobacter pylori","B128_1",SAMN06216064,PRJNA362878,"Proteobacteria","delta/epsilon subdivisions",GCA_002951975.1,1.674,38.8,chromosome:NZ_CP019700.1/CP019700.1,-,1,1636,1485,2018/02/26,2019/10/31,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/951/975/GCF_002951975.1_ASM295197v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/951/975/GCA_002951975.1_ASM295197v1
"Helicobacter pylori B8","B8",SAMEA2272698,PRJEA41831,"Proteobacteria","delta/epsilon subdivisions",GCA_000196755.1,1.68003,38.7896,chromosome:NC_014256.1/FN598874.1; plasmid HPB8p:NC_014257.1/FN665651.1,-,2,1641,1490,2010/06/15,2019/08/26,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/196/755/GCF_000196755.1_ASM19675v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/196/755/GCA_000196755.1_ASM19675v1
"Helicobacter pylori","7.13_R2a",SAMN06216073,PRJNA362878,"Proteobacteria","delta/epsilon subdivisions",GCA_002952575.1,1.67395,38.8,chromosome:NZ_CP024074.1/CP024074.1,-,1,1637,1484,2018/02/26,2019/10/19,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/952/575/GCF_002952575.1_ASM295257v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/952/575/GCA_002952575.1_ASM295257v1
"Helicobacter pylori P12","P12",SAMN02603595,PRJNA32291,"Proteobacteria","delta/epsilon subdivisions",GCA_000021465.1,1.68404,38.7775,chromosome:NC_011498.1/CP001217.1; plasmid HPP12:NC_011499.1/CP001218.1,-,2,1650,1468,2008/10/30,2019/08/25,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/021/465/GCF_000021465.1_ASM2146v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/021/465/GCA_000021465.1_ASM2146v1
"Helicobacter pylori","dRdM1",SAMN08388634,PRJNA431311,"Proteobacteria","delta/epsilon subdivisions",GCA_002906495.1,1.67078,38.9,chromosome:NZ_CP026325.1/CP026325.1,-,1,1647,1510,2018/01/30,2018/02/01,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/906/495/GCF_002906495.1_ASM290649v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/906/495/GCA_002906495.1_ASM290649v1
