"Name","NCBI Genome","NCBI Taxonomy","PATRIC","KEGG","BioCYC","RAST Annotation","VFDB","RefSeq FTP","GenBank FTP","BioSample","BioProject","Assembly","Size (Mb)","GC%","Replicons","WGS","Scaffolds","Genes","Proteins","Release Date","Modify Date","Level","Completion Date","Sequencing Centers","Sequencing Platform","Sequencing Depth","Assembly Method","Chromosomes","Plasmids","Contigs","Genome Length","Isolation Country","Host Name"
"Helicobacter pylori 13-A-EK8","582937","210","210.5925","","","582937","","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/338/545/GCF_006338545.1_ASM633854v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/338/545/GCA_006338545.1_ASM633854v1","SAMN10053419","PRJNA490474","GCA_006338545.1","1.6193","39.1","chromosome:NZ_CP032912.1/CP032912.1","-","1","1604","1435/582937","6/13/2019","10/19/2019","Complete Genome","2019-06-13T00:00:00Z","Max von Pettenkofer-Institut","PacBio RSII","300x","HGAP v. 3","1","","1","1619300","Germany","Homo sapiens"
"Helicobacter pylori 169-A-EK5","582930","210","210.5918","","","582930","","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/337/625/GCF_006337625.1_ASM633762v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/337/625/GCA_006337625.1_ASM633762v1","SAMN10053703","PRJNA490474","GCA_006337625.1","1.61019","39","chromosome:NZ_CP032904.1/CP032904.1","-","1","1582","1426/582930","6/13/2019","10/31/2019","Complete Genome","2019-06-13T00:00:00Z","Max von Pettenkofer-Institut","PacBio RSII","300x","HGAP v. 3","1","","1","1610187","Germany","Homo sapiens"
"Helicobacter pylori 169-C-EK8","582922","210","210.5910","","","582922","","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/337/345/GCF_006337345.1_ASM633734v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/337/345/GCA_006337345.1_ASM633734v1","SAMN10053716","PRJNA490474","GCA_006337345.1","1.61163","39","chromosome:NZ_CP032477.1/CP032477.1","-","1","1584","1425/582922","6/13/2019","10/19/2019","Complete Genome","2019-06-13T00:00:00Z","Max von Pettenkofer-Institut","PacBio RSII","300x","HGAP v. 3","1","","1","1611628","Germany","Homo sapiens"
"Helicobacter pylori 173-A-EK1","582929","210","210.5917","","","582929","","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/337/485/GCF_006337485.1_ASM633748v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/337/485/GCA_006337485.1_ASM633748v1","SAMN10053719","PRJNA490474","GCA_006337485.1","1.69072","38.8","chromosome:NZ_CP032903.1/CP032903.1","-","1","1652","1490/582929","6/13/2019","10/19/2019","Complete Genome","2019-06-13T00:00:00Z","Max von Pettenkofer-Institut","PacBio RSII","300x","HGAP v. 3","1","","1","1690720","Germany","Homo sapiens"
"Helicobacter pylori 19-A-EK3","582936","210","210.5924","","","582936","","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/338/415/GCF_006338415.1_ASM633841v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/338/415/GCA_006338415.1_ASM633841v1","SAMN10053444","PRJNA490474","GCA_006338415.1","1.70638","38.7","chromosome:NZ_CP032911.1/CP032911.1","-","1","1663","1520/582936","6/13/2019","10/19/2019","Complete Genome","2019-06-13T00:00:00Z","Max von Pettenkofer-Institut","PacBio RSII","300x","HGAP v. 3","1","","1","1706376","Germany","Homo sapiens"
"Helicobacter pylori 19-C-EK1","582925","210","210.5913","","","582925","","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/337/405/GCF_006337405.1_ASM633740v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/337/405/GCA_006337405.1_ASM633740v1","SAMN10053452","PRJNA490474","GCA_006337405.1","1.70936","38.7","chromosome:NZ_CP032480.1/CP032480.1","-","1","1667","1523/582925","6/13/2019","10/19/2019","Complete Genome","2019-06-13T00:00:00Z","Max von Pettenkofer-Institut","PacBio RSII","300x","HGAP v. 3","1","","1","1709363","Germany","Homo sapiens"
"Helicobacter pylori 2017","163545","985081","985081.3","T01913","GCF_000192315","163545","","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/192/315/GCF_000192315.1_ASM19231v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/192/315/GCA_000192315.1_ASM19231v1","SAMN02603712","PRJNA62769","GCA_000192315.1","1.54824","39.3","chromosome:NC_017374.1/CP002571.1","-","1","1548","1367/163545","3/15/2011","8/26/2019","Complete Genome","2011-03-15T00:00:00Z","Pathogen Biology Laboratory, University of Hyderabad","","","","1","","1","1548238","",""
"Helicobacter pylori 2018","163546","985080","985080.3","T01914","HPYL985080","163546","","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/192/335/GCF_000192335.1_ASM19233v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/192/335/GCA_000192335.1_ASM19233v1","SAMN02603713","PRJNA62771","GCA_000192335.1","1.56283","39.3","chromosome:NC_017381.1/CP002572.1","-","1","1553","1375/163546","3/15/2011","8/26/2019","Complete Genome","2011-03-15T00:00:00Z","Pathogen Biology Laboratory, University of Hyderabad","","","","1","","1","1562832","",""
"Helicobacter pylori 20-A-EK1","582935","210","210.5923","","","582935","","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/338/285/GCF_006338285.1_ASM633828v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/338/285/GCA_006338285.1_ASM633828v1","SAMN10053472","PRJNA490474","GCA_006338285.1","1.59966","39.1","chromosome:NZ_CP032910.1/CP032910.1","-","1","1584","1417/582935","6/13/2019","10/31/2019","Complete Genome","2019-06-13T00:00:00Z","Max von Pettenkofer-Institut","PacBio RSII","300x","HGAP v. 3","1","","1","1599658","Germany","Homo sapiens"
"Helicobacter pylori 21-A-EK1","582934","210","210.5922","","","582934","","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/338/145/GCF_006338145.1_ASM633814v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/338/145/GCA_006338145.1_ASM633814v1","SAMN10053502","PRJNA490474","GCA_006338145.1","1.58213","39","chromosome:NZ_CP032909.1/CP032909.1","-","1","1558","1426/582934","6/13/2019","10/19/2019","Complete Genome","2019-06-13T00:00:00Z","Max von Pettenkofer-Institut","PacBio RSII","300x","HGAP v. 3","1","","1","1582133","Germany","Homo sapiens"
