Name,Strain,PATRIC ID,NCBI Taxon ID,BioSample,BioProject,Assembly,Size (Mb),GC%,Replicons,WGS,Scaffolds,Genes,Proteins,Release Date,Modify Date,Level,RefSeq FTP,GenBank FTP,Completion Date,Sequencing Centers,Sequencing Platform,Sequencing Depth,Assembly Method,Chromosomes,Plasmids,Contigs,Genome Length,Isolation Country,Host Name
Helicobacter pylori 26695,26695,85962.8,85962,SAMN02603995,PRJNA233,GCA_000008525.1,1.66787,38.9,chromosome:NC_000915.1/AE000511.1,-,1,1555,1445,8/6/1997,8/2/2016,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/525/GCF_000008525.1_ASM852v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/525/GCA_000008525.1_ASM852v1,1997-08-07T00:00:00Z,TIGR,,,,1,,1,1667867,United Kingdom,"Human, Homo sapiens"
Helicobacter pylori NCTC 11637 = CCUG 17874 = ATCC 43504,NCTC 11637,102618.7,102618,SAMEA3178013,PRJEB6403,GCA_900478295.1,1.68094,38.8,chromosome 1:NZ_LS483488.1/LS483488.1,-,1,1679,1500,6/17/2018,6/25/2018,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/478/295/GCF_900478295.1_35377_D02,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/478/295/GCA_900478295.1_35377_D02,2018-06-17T00:00:00Z,SC,,,,1,,1,1680937,Australia,"Human, Homo sapiens"
Helicobacter pylori,FDAARGOS_298,210.422,210,SAMN06173311,PRJNA231221,GCA_003050665.1,1.6809,38.8,chromosome:NZ_CP028325.1/CP028325.1,-,1,1678,1511,4/13/2018,10/19/2019,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/050/665/GCF_003050665.1_ASM305066v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/050/665/GCA_003050665.1_ASM305066v1,2018-04-13T00:00:00Z,US Food and Drug Administration,PacBio; Illumina,24.67x,CA v. 8.2,1,,1,1680898,United States,"Human, Homo sapiens"
Helicobacter pylori,ATCC 43504,210.563,210,SAMD00051589,PRJDB4522,GCA_004295525.1,1.68083,38.8,chromosome:NZ_AP017632.1/AP017632.1,-,1,1677,1489,1/17/2019,8/8/2019,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/295/525/GCF_004295525.1_HPATCC43504_01,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/295/525/GCA_004295525.1_HPATCC43504_01,2019-01-17T00:00:00Z,"Microbiology, Graduate School of Medical Sciences, Kyushu University",454 GS FLX; ABI 3730; illumina,30x,Newbler v. 2.6,1,,1,1680829,,
Helicobacter pylori,B140,210.6106,210,SAMN08055035,PRJNA419269,GCA_007843915.1,1.72684,38.7,chromosome:NZ_CP024948.1/CP024948.1,-,1,1694,1518,8/5/2019,10/19/2019,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/843/915/GCF_007843915.1_ASM784391v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/843/915/GCA_007843915.1_ASM784391v1,2019-08-05T00:00:00Z,Yonsei University,PacBio,539.85x,PacBio SMRT Analysis v. v2.3.0,1,,1,1726836,,
Helicobacter pylori Gambia94/24,Gambia94/24,907240.3,907240,SAMN02603024,PRJNA53317,GCA_000185205.1,1.71247,39.0975,chromosome:NC_017371.1/CP002332.1; plasmid unnamed:NC_017364.1/CP002333.1,-,2,1682,1528,1/6/2011,3/22/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/185/205/GCF_000185205.1_ASM18520v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/185/205/GCA_000185205.1_ASM18520v1,2011-01-06T00:00:00Z,Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine,,,,1,1,2,1712468,,
Helicobacter pylori Gambia94/24,Gambia94/24,907240.5,907240,SAMN02603024,PRJNA53317,GCA_000185205.1,1.71247,39.0975,chromosome:NC_017371.1/CP002332.1; plasmid unnamed:NC_017364.1/CP002333.1,-,2,1682,1528,1/6/2011,3/22/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/185/205/GCF_000185205.1_ASM18520v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/185/205/GCA_000185205.1_ASM18520v1,2016-07-25T00:00:00Z,"Berg lab, Washington University Medical Shool",,,,,1,1,2557,,
Helicobacter pylori,19-C-EK1,210.5913,210,SAMN10053452,PRJNA490474,GCA_006337405.1,1.70936,38.7,chromosome:NZ_CP032480.1/CP032480.1,-,1,1667,1523,6/13/2019,10/19/2019,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/337/405/GCF_006337405.1_ASM633740v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/337/405/GCA_006337405.1_ASM633740v1,2019-06-13T00:00:00Z,Max von Pettenkofer-Institut,PacBio RSII,300x,HGAP v. 3,1,,1,1709363,Germany,Homo sapiens
Helicobacter pylori,19-A-EK3,210.5924,210,SAMN10053444,PRJNA490474,GCA_006338415.1,1.70638,38.7,chromosome:NZ_CP032911.1/CP032911.1,-,1,1663,1520,6/13/2019,10/19/2019,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/338/415/GCF_006338415.1_ASM633841v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/338/415/GCA_006338415.1_ASM633841v1,2019-06-13T00:00:00Z,Max von Pettenkofer-Institut,PacBio RSII,300x,HGAP v. 3,1,,1,1706376,Germany,Homo sapiens
Helicobacter pylori NY40,NY40,1426844.3,1426844,SAMD00061026,PRJDB1537,GCA_000828955.1,1.69692,38.8,chromosome:NZ_AP014523.1/AP014523.1,-,1,1693,1479,6/5/2014,3/25/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/828/955/GCF_000828955.1_ASM82895v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/828/955/GCA_000828955.1_ASM82895v1,2014-06-05T00:00:00Z,Kochi University,454 GS Jr.; illumina; ABI 3710,114x,GS De Novo Assembler v. 2.7,1,,1,1696917,,
