Genome ID,Genome Name,Organism Name,NCBI Taxon ID,Genome Status,Strain,Serovar,Biovar,Pathovar,MLST,Other Typing,Culture Collection,Type Strain,Completion Date,Publication,BioProject Accession,BioSample Accession,Assembly,SRA Accession,GenBank Accessions,RefSeq Accessions,Sequencing Centers,Sequencing Status,Sequencing Platform,Sequencing Depth,Assembly Method,Chromosomes,Plasmids,Contigs,Genome Length,GC Content,PATRIC CDS,RefSeq CDS,Isolation Site,Isolation Source,Isolation Comments,Collection Date,Isolation Country,Geographic Location,Latitude,Longitude,Altitude,Depth,Other Environmental,Host Name,Host Gender,Host Age,Host Health,Body Sample Site,Body Sample Subsite,Other Clinical,AntiMicrobial Resistance,AntiMicrobial Resistance Evidence,Gram Stain,Cell Shape,Motility,Sporulation,Temperature Range,Optimal Temperature,Salinity,Oxygen Requirement,Habitat,Disease,Comments,Additional Metadata,Coarse Consistency,Fine Consistency,Checkm Completeness,Checkm Contamination,Genome Quality Flags,Genome Quality,Date Inserted,Date Modified
"102608.4","Helicobacter pylori F32","Helicobacter pylori F32",102608,"Complete","F32",,,,"MLST.Helicobacter_pylori.3037",,,,"2011-01-07T00:00:00Z","21212362","PRJNA50593",,"GCA_000270045.1",,"AP011943,AP011944","NC_017366.1,NC_017370.1","The University of Tokyo|Center for Omics and Bioinformatics","complete",,,,1,1,2,1581461,38.86,1588,1491,,,,,,,,,,,,,,,,,,,,,,,,,,"-",,,,,"This strain will be used for comparative analysis.",,99.8,99.5,100,,,"Good","2014-12-08T22:11:43.624Z","2015-03-16T03:17:09.594Z"
"102608.9","Helicobacter pylori F32",,102608,"Plasmid","F32",,,,,,,,"2016-10-07T00:00:00Z","21212362,21575176","PRJDA50593","SAMD00060973","GCA_000270045.1",,"AP011944",,"The University of Tokyo",,,,,1,,1,2637,36.75,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"This strain will be used for comparative analysis.",,,,,,,,"2017-12-29T17:20:08.331Z","2017-12-29T17:20:08.331Z"
"102611.3","Helicobacter pylori J166",,102611,"Complete","J166",,,,"MLST.Helicobacter_pylori.204",,,,"2014-05-08T00:00:00Z","24924186","PRJNA245313","SAMN02736817","GCA_000685625.1",,"CP007603.1","NZ_CP007603.1","Penn State University",,"Sanger dideoxy sequencing; 454; Illumina",,"Newbler v. May-2009",1,,1,1650561,38.9,1630,1454,,"human stomach",,"1995",,,,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,"Human clinical H. pylori strain used for experimental infection of rhesus monkeys",,99.8,99.6,100,,,"Good","2014-12-08T22:28:46.086Z","2015-03-16T03:17:09.594Z"
"102616.3","Helicobacter pylori N6","Helicobacter pylori N6",102616,"WGS","N6",,,,"MLST.Helicobacter_pylori.101",,,,"2012-04-10T00:00:00Z","22740658","PRJEA89447","SAMEA2272535","GCA_000285895.1",,"CAHX00000000","-","Hannover Medical School","WGS",,,,,,54,1657684,38.7,1748,,,,,"1989","France","France",,,,,,"Human, Homo sapiens",,,"gastritis",,,,,,,,,,,,,,,,"-;many frameshifted proteins",,99.8,97.8,100,2.4,,"Good","2014-12-08T22:11:45.046Z","2015-03-16T03:17:09.594Z"
"102617.11","Helicobacter pylori SS1 strain SS1",,102617,"Complete","SS1",,,,"MLST.Helicobacter_pylori.31",,,,"2017-02-22T00:00:00Z",,"PRJNA256258","SAMN03331743","GCF_002005525.1",,"CP009259,CP009260","NZ_CP009259.1,NZ_CP009260.1","University of California at Santa Cruz",,"454, SOLiD, targeted Sanger, targeted",">1000x","Roche GS Assembler & GS Mapper v. 2.0.01;",1,1,2,1624943,39.01,1606,1460,,"gastric",,"01-Apr-1997","Australia","Australia",,,,,"env_biome:human","Helicobacter pylori",,,,,,,,,"Negative","Spirilla","Yes",,,"37C",,"Microaerophilic","HostAssociated",,"We have sequenced the genome of the primary mouse-infecting H. pylori strain SS1 (“Sydney Strain 1”), actively used by many researchers.",,99.7,99.6,100,0.3,,"Good","2017-03-20T08:24:46.261Z","2017-03-20T08:24:46.261Z"
"102617.12","Helicobacter pylori SS1 strain SS1",,102617,"WGS","SS1",,,,"MLST.Helicobacter_pylori.181",,,,"2017-05-18T00:00:00Z",,"PRJNA230061","SAMN06186787","GCA_002148385.1",,"AZBP00000000",,"Aarhus University",,"Illumina","100.0x","Newbler v. Feb-2012",,,61,1604188,38.96,1702,1623,,,,,,,,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,"This study investigates if H. pylori undergoes recombination during infection and aims at the identification of bacterial determinants involved in colonization and infection of gastric epithelium.",,99.9,99.3,100,0.9,,"Good","2017-05-30T00:22:01.723Z","2017-05-30T00:22:01.723Z"
"102617.13","Helicobacter pylori SS1",,102617,"Plasmid","SS1",,,,,,,,"2017-02-22T00:00:00Z",,"PRJNA256258","SAMN03331743","GCA_002005525.1",,"CP009260",,"University of California at Santa Cruz",,"454, SOLiD, targeted Sanger, targeted",">1000x","Roche GS Assembler & GS Mapper v. 2.0.01;",,1,1,5845,37.31,7,3,,"gastric",,"01-Apr-1997","Australia","Australia",,,,,"env_biome:human","Helicobacter pylori",,,,,,,,,"Negative","Spirilla","Yes",,,"37C",,"Microaerophilic","HostAssociated",,"We have sequenced the genome of the primary mouse-infecting H. pylori strain SS1 (“Sydney Strain 1”), actively used by many researchers.",,,,,,,,"2017-12-29T23:21:26.592Z","2017-12-29T23:21:26.592Z"
"102618.3","Helicobacter pylori NCTC 11637 = CCUG 17874","Helicobacter pylori NCTC 11638",102618,"WGS","17874",,,,"MLST.Helicobacter_pylori.415",,"CCUG 17874",,"2012-04-16T00:00:00Z","22493206","PRJNA76569","SAMN02472263","GCA_000258845.1",,"AIHX00000000","-","Microbiology Dept, University College Cork","WGS",,,,,,163,1600513,39,1625,1633,,"gastric antrum sample from patient",,,"Australia","Australia",,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,"Helicobacter pylori CCUG 17874 genome sequencing. ",,99.3,98.7,99,0.9,,"Good","2014-12-08T22:11:45.081Z","2015-03-16T03:17:09.594Z"
"102618.7","Helicobacter pylori NCTC 11637 = CCUG 17874 = ATCC 43504 strain NCTC11637",,102618,"Complete","NCTC11637",,,,"MLST.Helicobacter_pylori.3327",,"NCTC:11637",,"2018-06-17T00:00:00Z",,"PRJEB6403","SAMEA3178013","GCA_900478295.1",,"LS483488",,"SC",,,,,1,,1,1680937,38.825607,1709,1601,,"Gastric Antrum",,"1984","Australia","Australia",,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,"http://www.sanger.ac.uk/resources/downloads/bacteria/nctc/",,99.5,99.1,100,0.4,,"Good","2018-07-16T23:42:33.236Z","2018-07-16T23:42:33.236Z"
"1055527.11","Helicobacter pylori ELS37",,1055527,"Plasmid","ELS37",,,,,,,,"2016-07-26T00:00:00Z",,"PRJNA69915","SAMN02604318","GCA_000255955.1",,"CP002954",,"Washington University Med. School",,,,,,1,1,5289,35.92,7,6,,"male cancer patient","isolate from gastric cancer patient from El Salvador rural area",,"El Salvador","El Salvador: rural region",,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,"Clinical Helicobacter pylori isolate from gastric cancer patient from El Salvador rural area.",,,,,,,,"2017-12-29T22:01:17.247Z","2017-12-29T22:01:17.247Z"
